,type,1,2,3,4,5
,0,Hello,Hello,Hello,Hello,Hello
,1,Error,Error,Error,Error,Error
,2,EchoReq,EchoReq,EchoReq,EchoReq,EchoReq
,3,EchoRes,EchoRes,EchoRes,EchoRes,EchoRes
,4,Vendor,Experimenter,Experimenter,Experimenter,Experimenter
,5,FeatureReq,FeatureReq,FeatureReq,FeatureReq,FeatureReq
,6,FeatureRes,FeatureRes,FeatureRes,FeatureRes,FeatureRes
,7,GetConfigReq,GetConfigReq,GetConfigReq,GetConfigReq,GetConfigReq
,8,GetConfigRes,GetConfigRes,GetConfigRes,GetConfigRes,GetConfigRes
,9,SetConfig,SetConfig,SetConfig,SetConfig,SetConfig
,10,PacketIn,PacketIn,PacketIn,PacketIn,PacketIn
,11,FlowRemoved,FlowRemoved,FlowRemoved,FlowRemoved,FlowRemoved
,12,PortStatus,PortStatus,PortStatus,PortStatus,PortStatus
,13,PacketOut,PacketOut,PacketOut,PacketOut,PacketOut
,14,FlowMod,FlowMod,FlowMod,FlowMod,FlowMod
,15,PortMod,GroupMod,GroupMod,GroupMod,GroupMod
,16,StatsReq,PortMod,PortMod,PortMod,PortMod
,17,StatsRes,TableMod,TableMod,TableMod,TableMod
,18,BarrierReq,StatsReq,StatsReq,MultipartReq,MultipartReq
,19,BarrierRes,StatsRes,StatsRes,MultipartRes,MultipartRes
,20,QueueGetConfigReq,BarrierReq,BarrierReq,BarrierReq,BarrierReq
,21,QueueGetConfigRes,BarrierRes,BarrierRes,BarrierRes,BarrierRes
,22,-,QueueGetConfigReq,QueueGetConfigReq,QueueGetConfigReq,-
,23,-,QueueGetConfigRes,QueueGetConfigRes,QueueGetConfigRes,-
,24,-,-,RoleReq,RoleReq,RoleReq
,25,-,-,RoleRes,RoleRes,RoleRes
,26,-,-,-,GetAsyncReq,GetAsyncReq
,27,-,-,-,GetAsyncRes,GetAsyncRes
,28,-,-,-,SetAsync,SetSync
,29,-,-,-,MeterMod,MeterMod
,30,-,-,-,-,RoleStatus
,31,-,-,-,-,TableStatus
,32,-,-,-,-,RequestForward
,33,-,-,-,-,BundleControl
,34,-,-,-,-,BundleAddMessage
